Australian Bureau of Statistics

"Labour Force Survey, 2006 to 2026"
"Survey month and Industry of main job (ANZSIC 2006) by Occupation of main job (ANZSCO 2013 v1.3)"
"Counting: Weighted count of Person"

Filters:
"Default Summation","Weighted count of Person (#)"
"Occupation of main job (ANZSCO 2013 v1.3)","Tech occupations"

,"Counting","Weighted count of Person","Weighted count of Person - RSE","Weighted count of Person - Annotations",
"Survey month","Industry of main job (ANZSIC 2006)",
"Aug-06","Telecommunications Services",42.1,8.17,,
,"Internet Service Providers and Web Search Portals",5,23.10,,
,"Data Processing, Web Hosting and Electronic Information Storage Services",6.7,23.25,,
,"Computer System Design and Related Services",93.9,6.89,,
,"Total",149.2,5.17,,
"Nov-06","Telecommunications Services",40.2,9.86,,
,"Internet Service Providers and Web Search Portals",6.5,25.70,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",5.6,26.67,"*",
,"Computer System Design and Related Services",85.5,6.24,,
,"Total",137.1,5.55,,
"Feb-07","Telecommunications Services",41.6,10.04,,
,"Internet Service Providers and Web Search Portals",3.6,34.53,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",6.2,24.50,,
,"Computer System Design and Related Services",79.9,8.58,,
,"Total",130.6,6.59,,
"May-07","Telecommunications Services",43.3,8.32,,
,"Internet Service Providers and Web Search Portals",5.2,29.47,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",7.3,27.14,"*",
,"Computer System Design and Related Services",90.8,7.52,,
,"Total",147.4,6.37,,
"Aug-07","Telecommunications Services",41.4,8.02,,
,"Internet Service Providers and Web Search Portals",4.3,30.46,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",10.1,28.05,"*",
,"Computer System Design and Related Services",99.2,8.71,,
,"Total",154.4,7.18,,
"Nov-07","Telecommunications Services",44.4,8.76,,
,"Internet Service Providers and Web Search Portals",4.2,30.78,"*",
,"Data Processing, Web Hosting and Electronic Information Storage Services",10.1,21.42,,
,"Computer System Design and Related Services",96.7,6.70,,
,"Total",154.8,5.12,,
"Feb-08","Telecommunications Services",42.7,9.04,,
,"Internet Service Providers and Web Search Portals",4.7,28.35,"*",
