Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL
Summary,Percentile,,Median,198365,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Summary,Percentile,,25th,124000,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Summary,Percentile,,75th,302000,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Summary,Percentile,,90th,435000,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Top Company,Ranking,1,Google,323082,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Top Company,Ranking,2,Microsoft,272636,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Top Company,Ranking,3,Amazon,268665,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Top Location,Ranking,1,Sydney,252256,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Top Location,Ranking,2,Brisbane,232518,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Top Location,Ranking,3,Melbourne,182800,Sales,All,Australia,https://www.levels.fyi/en-gb/t/sales/locations/australia
Summary,Percentile,,Median,230843,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia
Summary,Percentile,,25th,190000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia
Summary,Percentile,,75th,279000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia
Summary,Percentile,,90th,307000,Product Design Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia
Summary,Percentile,,Median,230843,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,25th,190000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,75th,279000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,90th,307000,Product Design Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia
Summary,Percentile,,Median,229620,Chief Of Staff,All,Australia,https://www.levels.fyi/en-gb/t/chief-of-staff/locations/australia
Summary,Percentile,,25th,172000,Chief Of Staff,All,Australia,https://www.levels.fyi/en-gb/t/chief-of-staff/locations/australia
Summary,Percentile,,75th,273000,Chief Of Staff,All,Australia,https://www.levels.fyi/en-gb/t/chief-of-staff/locations/australia
Summary,Percentile,,90th,348000,Chief Of Staff,All,Australia,https://www.levels.fyi/en-gb/t/chief-of-staff/locations/australia
Summary,Percentile,,Median,93088,Electrical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia
Summary,Percentile,,25th,72,Electrical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia
Summary,Percentile,,75th,113000,Electrical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia
Summary,Percentile,,90th,126000,Electrical Engineer,All,Australia,https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia
Summary,Percentile,,Median,174872,Data Science Manager,All,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/locations/australia
Summary,Percentile,,25th,162000,Data Science Manager,All,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/locations/australia
Summary,Percentile,,75th,222000,Data Science Manager,All,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/locations/australia
Summary,Percentile,,90th,286000,Data Science Manager,All,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/locations/australia
Top Company,Ranking,1,Brisbane,286491,Data Science Manager,All,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/locations/australia
Top Company,Ranking,2,Sydney,174872,Data Science Manager,All,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/locations/australia
Top Company,Ranking,3,Melbourne,167738,Data Science Manager,All,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/locations/australia
Summary,Percentile,,Median,182859,Data Science Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/levels/senior/locations/australia
Summary,Percentile,,25th,162000,Data Science Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/levels/senior/locations/australia
Summary,Percentile,,75th,251000,Data Science Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/levels/senior/locations/australia
Summary,Percentile,,90th,286000,Data Science Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/levels/senior/locations/australia
Top Company,Ranking,1,Brisbane,286491,Data Science Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/levels/senior/locations/australia
Top Company,Ranking,2,Sydney,174872,Data Science Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/levels/senior/locations/australia
Top Company,Ranking,3,Melbourne,167738,Data Science Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/data-science-manager/levels/senior/locations/australia
Summary,Percentile,,Median,148306,Actuary,All,Australia,https://www.levels.fyi/en-gb/t/actuary/locations/australia
Summary,Percentile,,Median,118793,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Summary,Percentile,,25th,102000,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Summary,Percentile,,75th,141000,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Summary,Percentile,,90th,159000,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Top Company,Ranking,1,ANZ,142162,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Top Company,Ranking,2,Westpac,130376,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Top Company,Ranking,3,Transurban,127529,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Top Location,Ranking,1,Canberra,183200,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Top Location,Ranking,2,Melbourne,125395,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Top Location,Ranking,3,Sydney,119207,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia
Summary,Percentile,,Median,85570,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Summary,Percentile,,25th,79,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Summary,Percentile,,75th,112000,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Summary,Percentile,,90th,114000,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Top Company,Ranking,1,ANZ,142162,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Top Company,Ranking,2,Westpac,130376,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Top Company,Ranking,3,Transurban,127529,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Top Location,Ranking,1,Canberra,183200,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Top Location,Ranking,2,Melbourne,125395,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Top Location,Ranking,3,Sydney,119207,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia
Summary,Percentile,,Median,142162,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Summary,Percentile,,25th,133000,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Summary,Percentile,,75th,165000,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Summary,Percentile,,90th,178000,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Top Company,Ranking,1,ANZ,142162,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Top Company,Ranking,2,Westpac,130376,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Top Company,Ranking,3,Transurban,127529,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Top Location,Ranking,1,Canberra,183200,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Top Location,Ranking,2,Melbourne,125395,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Top Location,Ranking,3,Sydney,119207,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia
Summary,Percentile,,Median,122180,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia
Summary,Percentile,,25th,76,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia
Summary,Percentile,,75th,142000,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia
Summary,Percentile,,90th,205000,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia
Top Company,Ranking,1,Sydney,123063,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia
Top Company,Ranking,2,Melbourne,118584,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia
Top Company,Ranking,3,Brisbane,108968,Financial Analyst,All,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/locations/australia
Summary,Percentile,,Median,76365,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia
Summary,Percentile,,25th,63000,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia
Summary,Percentile,,75th,116000,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia
Summary,Percentile,,90th,121000,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia
Top Company,Ranking,1,Sydney,123063,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia
Top Company,Ranking,2,Melbourne,118584,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia
Top Company,Ranking,3,Brisbane,108968,Financial Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/entry-level/locations/australia
Summary,Percentile,,Median,169339,Financial Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/senior/locations/australia
Summary,Percentile,,25th,151000,Financial Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/senior/locations/australia
Summary,Percentile,,75th,181000,Financial Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/senior/locations/australia
Summary,Percentile,,90th,230000,Financial Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/senior/locations/australia
Top Company,Ranking,1,Sydney,123063,Financial Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/senior/locations/australia
Top Company,Ranking,2,Melbourne,118584,Financial Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/senior/locations/australia
Top Company,Ranking,3,Brisbane,108968,Financial Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/financial-analyst/levels/senior/locations/australia
