URL,job_title,level,country,data_exists
https://www.levels.fyi/en-gb/t/sales/locations/australia,Sales,All,Australia,Data available
https://www.levels.fyi/en-gb/t/sales/levels/entry-level/locations/australia,Sales,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/sales/levels/senior/locations/australia,Sales,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/founder/locations/australia,Founder,All,Australia,No data available
https://www.levels.fyi/en-gb/t/founder/levels/entry-level/locations/australia,Founder,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/founder/levels/senior/locations/australia,Founder,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/product-design-manager/locations/australia,Product Design Manager,All,Australia,Data available
https://www.levels.fyi/en-gb/t/product-design-manager/levels/entry-level/locations/australia,Product Design Manager,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/product-design-manager/levels/senior/locations/australia,Product Design Manager,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/chief-of-staff/locations/australia,Chief Of Staff,All,Australia,Data available
https://www.levels.fyi/en-gb/t/chief-of-staff/levels/entry-level/locations/australia,Chief Of Staff,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/chief-of-staff/levels/senior/locations/australia,Chief Of Staff,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/electrical-engineer/locations/australia,Electrical Engineer,All,Australia,Data available
https://www.levels.fyi/en-gb/t/electrical-engineer/levels/entry-level/locations/australia,Electrical Engineer,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/electrical-engineer/levels/senior/locations/australia,Electrical Engineer,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/copywriter/locations/australia,Copywriter,All,Australia,No data available
https://www.levels.fyi/en-gb/t/copywriter/levels/entry-level/locations/australia,Copywriter,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/copywriter/levels/senior/locations/australia,Copywriter,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/data-science-manager/locations/australia,Data Science Manager,All,Australia,Data available
https://www.levels.fyi/en-gb/t/data-science-manager/levels/entry-level/locations/australia,Data Science Manager,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/data-science-manager/levels/senior/locations/australia,Data Science Manager,Senior,Australia,Data available
https://www.levels.fyi/en-gb/t/trust-and-safety/locations/australia,Trust And Safety,All,Australia,No data available
https://www.levels.fyi/en-gb/t/trust-and-safety/levels/entry-level/locations/australia,Trust And Safety,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/trust-and-safety/levels/senior/locations/australia,Trust And Safety,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/sales-enablement/locations/australia,Sales Enablement,All,Australia,No data available
https://www.levels.fyi/en-gb/t/sales-enablement/levels/entry-level/locations/australia,Sales Enablement,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/sales-enablement/levels/senior/locations/australia,Sales Enablement,Senior,Australia,No data available
https://www.levels.fyi/en-gb/t/aerospace-engineer/locations/australia,Aerospace Engineer,All,Australia,No data available
https://www.levels.fyi/en-gb/t/aerospace-engineer/levels/entry-level/locations/australia,Aerospace Engineer,Entry-Level,Australia,No data available
https://www.levels.fyi/en-gb/t/aerospace-engineer/levels/senior/locations/australia,Aerospace Engineer,Senior,Australia,No data available
