country,Total,Diversity,Economy,Education,Infrastructure,Policy & Governance,Public Opinion,R&D,Responsible AI,region
China,40.17,1.08,6.19,0.94,9.49,4.4,1.33,14.78,1.96,APAC
India,25.54,2.86,4.3,2.02,0.6,4.55,1.58,9.37,0.26,APAC
South Korea,20.48,1.08,3.0,1.23,4.57,7.05,1.59,1.81,0.14,APAC
Japan,18.47,1.08,3.11,1.11,6.14,4.68,0.54,1.61,0.2,APAC
Singapore,18.15,1.98,4.99,1.42,2.35,4.84,0.99,1.09,0.49,APAC
United States,70.06,1.01,13.55,2.75,16.91,6.84,3.99,19.29,5.71,Americas
Canada,15.71,1.03,2.92,0.88,3.2,4.68,0.47,1.98,0.54,Americas
Mexico,9.1,1.08,2.43,0.0,0.54,4.67,0.17,0.2,0.01,Americas
Brazil,8.16,0.0,0.65,0.0,1.84,4.48,0.54,0.65,0.0,Americas
United Kingdom,27.21,1.25,5.92,3.69,2.35,9.67,0.65,2.58,1.11,EMEA
United Arab Emirates,22.72,2.69,5.4,3.21,4.87,4.56,1.29,0.61,0.08,EMEA
France,22.54,1.4,2.0,3.21,5.74,7.4,0.91,1.53,0.35,EMEA
Germany,18.49,0.91,3.42,2.16,3.21,4.77,1.09,2.22,0.71,EMEA
Spain,17.72,0.45,2.57,1.95,4.38,6.92,0.63,0.73,0.09,EMEA
Australia,13.11,1.03,2.2,0.94,1.15,5.87,0.48,1.03,0.41,APAC
