Sector,movement_type,manager_type,Men,Women
TCA Members Companies,Promotions,Mid to entry level management,64.6,35.4
TCA Members Companies,Promotions,Non-managers,60.4,39.6
TCA Members Companies,Promotions,Top level management,54.2,45.8
TCA Members Companies,Internal appointments,Mid to entry level management,66.1,33.9
TCA Members Companies,Internal appointments,Non-managers,59.5,40.5
TCA Members Companies,Internal appointments,Top level management,69.9,30.1
TCA Members Companies,External appointments,Mid to entry level management,63.6,36.4
TCA Members Companies,External appointments,Non-managers,58.6,41.4
TCA Members Companies,External appointments,Top level management,66.7,33.3
Direct Tech Sector Companies,Promotions,Mid to entry level management,65.0,35.0
Direct Tech Sector Companies,Promotions,Non-managers,65.0,35.0
Direct Tech Sector Companies,Promotions,Top level management,61.2,38.8
Direct Tech Sector Companies,Internal appointments,Mid to entry level management,65.9,34.1
Direct Tech Sector Companies,Internal appointments,Non-managers,67.3,32.7
Direct Tech Sector Companies,Internal appointments,Top level management,70.9,29.1
Direct Tech Sector Companies,External appointments,Mid to entry level management,65.5,34.5
Direct Tech Sector Companies,External appointments,Non-managers,62.6,37.4
Direct Tech Sector Companies,External appointments,Top level management,67.5,32.5
Australian Average,Promotions,Mid to entry level management,50.8,49.2
Australian Average,Promotions,Non-managers,48.7,51.3
Australian Average,Promotions,Top level management,57.9,42.1
Australian Average,Internal appointments,Mid to entry level management,50.1,49.9
Australian Average,Internal appointments,Non-managers,43.4,56.6
Australian Average,Internal appointments,Top level management,55.8,44.2
Australian Average,External appointments,Mid to entry level management,54.3,45.7
Australian Average,External appointments,Non-managers,46.7,53.3
Australian Average,External appointments,Top level management,57.1,42.9
