date,tech_occupation,n,percent,% of labour force in tech occupations (smoothed),Month Year
1986-11-01,Tech,173.70750331,2.469483293306645,2.5,November 1986
1987-02-01,Tech,173.21627932,2.466676797407874,2.5,February 1987
1987-05-01,Tech,178.26760806,2.509565979859409,2.5,May 1987
1987-08-01,Tech,180.40443718,2.5436814966174413,2.5,August 1987
1987-11-01,Tech,180.19412738,2.508912287303296,2.6,November 1987
1988-02-01,Tech,195.24207405,2.6939957899032403,2.6,February 1988
1988-05-01,Tech,193.53147878,2.6313507988206344,2.7,May 1988
1988-08-01,Tech,196.99379024,2.6789897707050083,2.6,August 1988
1988-11-01,Tech,193.21451025,2.5732404486064135,2.6,November 1988
1989-02-01,Tech,203.28650252,2.686669048281403,2.7,February 1989
1989-05-01,Tech,210.45745491,2.7258540685675374,2.7,May 1989
1989-08-01,Tech,205.69151874,2.666030332207509,2.6,August 1989
1989-11-01,Tech,199.05027106,2.531687069612453,2.6,November 1989
1990-02-01,Tech,202.29327019,2.5925095814666475,2.6,February 1990
1990-05-01,Tech,212.66871712,2.6891280760975667,2.7,May 1990
1990-08-01,Tech,227.8572541,2.9182601625467175,2.8,August 1990
1990-11-01,Tech,219.97439169,2.810483755511411,2.9,November 1990
1991-02-01,Tech,223.25510512,2.896114403493226,2.9,February 1991
1991-05-01,Tech,222.31612452,2.8858295344357776,2.9,May 1991
1991-08-01,Tech,227.68949105,2.9877753369267968,2.9,August 1991
1991-11-01,Tech,222.9752048,2.9281275133866305,3.0,November 1991
1992-02-01,Tech,234.91399159,3.092122763996759,3.0,February 1992
1992-05-01,Tech,229.82966631,3.0116317407769095,3.0,May 1992
1992-08-01,Tech,224.81328844,2.9528635691445464,2.9,August 1992
1992-11-01,Tech,216.98661772,2.8598108430022458,2.9,November 1992
1993-02-01,Tech,221.40052457,2.9398714757767346,2.9,February 1993
1993-05-01,Tech,219.88098699,2.885385356664925,2.9,May 1993
1993-08-01,Tech,221.05746588,2.9127121335822252,2.9,August 1993
1993-11-01,Tech,229.09578527,2.9580112665030094,2.9,November 1993
1994-02-01,Tech,220.65447956,2.8513495840036325,2.9,February 1994
1994-05-01,Tech,227.19685312,2.8913144616044177,2.9,May 1994
1994-08-01,Tech,231.53262681,2.9450730403188063,2.9,August 1994
1994-11-01,Tech,235.91630307,2.9477550203750154,3.0,November 1994
1995-02-01,Tech,241.7223155,3.0028079630358278,3.0,February 1995
1995-05-01,Tech,253.3224054,3.102463573979676,3.1,May 1995
1995-08-01,Tech,259.18578843,3.1739942241401127,3.1,August 1995
1995-11-01,Tech,258.37880721,3.1128993734831583,3.2,November 1995
1996-02-01,Tech,274.67965381,3.3308216472730954,3.3,February 1996
1996-05-01,Tech,276.64381574,3.3342127709161438,3.3,May 1996
1996-08-01,Tech,258.2105784,3.1238180500830564,3.2,August 1996
1996-11-01,Tech,258.43503423,3.1082936990003023,3.2,November 1996
1997-02-01,Tech,269.73388798,3.2531815252570047,3.3,February 1997
1997-05-01,Tech,292.82943721,3.5152807120143783,3.5,May 1997
1997-08-01,Tech,300.29852420000003,3.6398470830931653,3.5,August 1997
1997-11-01,Tech,284.05438896,3.3567897044673742,3.5,November 1997
1998-02-01,Tech,282.83122449,3.3618369111260953,3.3,February 1998
1998-05-01,Tech,276.62573685,3.2611191488936453,3.4,May 1998
1998-08-01,Tech,291.57973554,3.4485119396261963,3.4,August 1998
1998-11-01,Tech,305.2411844,3.5682799020551457,3.5,November 1998
1999-02-01,Tech,297.95340964,3.482198430169729,3.6,February 1999
1999-05-01,Tech,314.0075168,3.648484083234469,3.5,May 1999
1999-08-01,Tech,291.58166283,3.3890564806460133,3.6,August 1999
1999-11-01,Tech,320.34336515,3.655357371700374,3.6,November 1999
2000-02-01,Tech,323.98488921,3.70082167835785,3.6,February 2000
2000-05-01,Tech,316.28553757,3.5678008503615812,3.6,May 2000
2000-08-01,Tech,327.04913813,3.6699311295383903,3.7,August 2000
2000-11-01,Tech,336.27919742,3.773025712800159,3.8,November 2000
2001-02-01,Tech,357.37744013,4.006053432719894,3.9,February 2001
2001-05-01,Tech,362.67833852,4.027687691710103,4.0,May 2001
2001-08-01,Tech,354.22664686,3.948180748974738,3.9,August 2001
2001-11-01,Tech,340.68769899,3.762158694026338,3.9,November 2001
2002-02-01,Tech,363.96036852,4.0029472275084235,3.9,February 2002
2002-05-01,Tech,363.18634306,3.975909589989965,4.0,May 2002
2002-08-01,Tech,369.46304231,4.037721184866059,4.0,August 2002
2002-11-01,Tech,365.57151419,3.9364887850363113,4.0,November 2002
2003-02-01,Tech,378.22201224,4.035401456901716,4.0,February 2003
2003-05-01,Tech,370.06956403,3.9452717777894066,4.0,May 2003
2003-08-01,Tech,367.47812448,3.939959826425945,4.0,August 2003
2003-11-01,Tech,373.84533093,3.9653760638323687,4.0,November 2003
2004-02-01,Tech,378.63340861,4.013305024641845,4.0,February 2004
2004-05-01,Tech,388.1375116,4.0713127145219685,4.0,May 2004
2004-08-01,Tech,359.60859806,3.8005211222546196,3.9,August 2004
2004-11-01,Tech,381.53516457,3.952535168102342,3.9,November 2004
2005-02-01,Tech,376.76661393,3.8664085708752656,3.9,February 2005
2005-05-01,Tech,384.1705084,3.8999092498786054,3.9,May 2005
2005-08-01,Tech,382.58830047,3.8761428121941046,3.9,August 2005
2005-11-01,Tech,395.87699221,3.9806643051754893,4.0,November 2005
2006-02-01,Tech,409.64949004,4.112477058817481,4.1,February 2006
2006-05-01,Tech,410.74370933,4.074007468597803,4.1,May 2006
2006-08-01,Tech,417.79588832,4.134229799719312,4.0,August 2006
2006-11-01,Tech,401.54790334,3.936109338139562,4.0,November 2006
2007-02-01,Tech,408.19353406,3.971919780150473,4.0,February 2007
2007-05-01,Tech,432.07126236,4.14974027679685,4.1,May 2007
2007-08-01,Tech,443.28424745,4.2597281689714315,4.3,August 2007
2007-11-01,Tech,464.95352506,4.413375506194099,4.3,November 2007
2008-02-01,Tech,450.29120883,4.238870055875162,4.2,February 2008
2008-05-01,Tech,430.69335068,4.028821404413581,4.2,May 2008
2008-08-01,Tech,460.71702124,4.301569051283768,4.2,August 2008
2008-11-01,Tech,459.39105826,4.270487502199392,4.3,November 2008
2009-02-01,Tech,464.95191291,4.314406728753874,4.2,February 2009
2009-05-01,Tech,435.7297565,4.03947239629899,4.2,May 2009
2009-08-01,Tech,446.92923036,4.174077621863667,4.1,August 2009
2009-11-01,Tech,455.32698697,4.204610324676897,4.2,November 2009
2010-02-01,Tech,474.16591797,4.354478745350375,4.2,February 2010
2010-05-01,Tech,457.39998052,4.174337614565822,4.2,May 2010
2010-08-01,Tech,456.10789803,4.156326385091774,4.1,August 2010
2010-11-01,Tech,448.2730708,4.022354086119945,4.2,November 2010
2011-02-01,Tech,490.39135547,4.399637608940567,4.3,February 2011
2011-05-01,Tech,497.43048223,4.442858500177239,4.4,May 2011
2011-08-01,Tech,479.78076207,4.311777394507618,4.3,August 2011
2011-11-01,Tech,471.85475422,4.198213246016948,4.3,November 2011
2012-02-01,Tech,489.57229531,4.3565029387061465,4.4,February 2012
2012-05-01,Tech,522.86283086,4.589272450557089,4.5,May 2012
2012-08-01,Tech,512.87513589,4.553176626791186,4.6,August 2012
2012-11-01,Tech,517.8956569,4.5515949486039915,4.6,November 2012
2013-02-01,Tech,519.93670341,4.5507440835015265,4.6,February 2013
2013-05-01,Tech,525.19868327,4.5702576079326835,4.6,May 2013
2013-08-01,Tech,515.90749814,4.540875716876867,4.5,August 2013
2013-11-01,Tech,504.28000752,4.405769800216297,4.4,November 2013
2014-02-01,Tech,501.86736277,4.377552811852744,4.4,February 2014
2014-05-01,Tech,516.52053045,4.470742994386165,4.5,May 2014
2014-08-01,Tech,554.70180804,4.793166355811277,4.6,August 2014
2014-11-01,Tech,520.09145155,4.490621387947049,4.7,November 2014
2015-02-01,Tech,550.0187295,4.691338468489663,4.7,February 2015
2015-05-01,Tech,568.26530146,4.823393884937199,4.7,May 2015
2015-08-01,Tech,541.4265532,4.626536899274556,4.6,August 2015
2015-11-01,Tech,534.98930234,4.4824245055183045,4.6,November 2015
2016-02-01,Tech,551.04664916,4.601298638369769,4.6,February 2016
2016-05-01,Tech,560.49463207,4.670808288234884,4.7,May 2016
2016-08-01,Tech,566.00769682,4.758122490735332,4.7,August 2016
2016-11-01,Tech,552.97296333,4.595546912241084,4.6,November 2016
2017-02-01,Tech,544.86623455,4.517178443990447,4.6,February 2017
2017-05-01,Tech,577.69834101,4.723570351157419,4.6,May 2017
2017-08-01,Tech,565.31933637,4.6255895351153535,4.6,August 2017
2017-11-01,Tech,565.43339154,4.553066604445035,4.7,November 2017
2018-02-01,Tech,600.2701182,4.813300146573416,4.8,February 2018
2018-05-01,Tech,623.48175915,4.977449503047667,5.0,May 2018
2018-08-01,Tech,638.22854714,5.095847893274593,5.0,August 2018
2018-11-01,Tech,622.2219798900001,4.900165591413122,5.1,November 2018
2019-02-01,Tech,678.73875913,5.3117325670891375,5.1,February 2019
2019-05-01,Tech,659.91715982,5.126597501928375,5.2,May 2019
2019-08-01,Tech,643.43109314,5.017631286586772,5.1,August 2019
2019-11-01,Tech,659.89064138,5.102237833069301,5.1,November 2019
2020-02-01,Tech,668.00911368,5.1454941377440795,5.2,February 2020
2020-05-01,Tech,662.15845017,5.460344644190985,5.4,May 2020
2020-08-01,Tech,686.07521657,5.4887421967267365,5.5,August 2020
2020-11-01,Tech,711.77850755,5.559513603024346,5.6,November 2020
2021-02-01,Tech,734.30309585,5.670489640883702,5.6,February 2021
2021-05-01,Tech,721.28795436,5.496045518583575,5.5,May 2021
2021-08-01,Tech,703.62985506,5.456285651336816,5.6,August 2021
2021-11-01,Tech,753.72069945,5.707315077465204,5.6,November 2021
2022-02-01,Tech,775.59903077,5.77028343099309,5.7,February 2022
2022-05-01,Tech,783.26693474,5.771050459932512,5.7,May 2022
2022-08-01,Tech,772.93732287,5.683445763632476,5.8,August 2022
2022-11-01,Tech,802.5280639,5.7966779348555475,5.8,November 2022
2023-02-01,Tech,818.5768171,5.879723202682725,5.8,February 2023
2023-05-01,Tech,798.20805565,5.660215800124932,5.8,May 2023
2023-08-01,Tech,811.5054208399999,5.785907393257818,5.8,August 2023
2023-11-01,Tech,850.72801586,5.962327280188479,5.9,November 2023
2024-02-01,Tech,870.85582639,6.0746775152121515,6.0,February 2024
2024-05-01,Tech,868.72003505,6.039195604749966,6.0,May 2024
2024-08-01,Tech,828.56466893,5.781110453446632,5.8,August 2024
2024-11-01,Tech,797.43260558,5.484779438179233,5.6,November 2024
2025-02-01,Tech,807.85958427,5.554165640109696,5.6,February 2025
2025-05-01,Tech,831.14923777,5.653316815014948,5.7,May 2025
