Category,year,metric,% of GDP,Region
Korea,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,4.9,APAC
Japan,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.4,APAC
Australia,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.7,APAC
New Zealand,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.5,APAC
United States,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.4,Americas
Canada,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.9,Americas
Costa Rica,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,0.3,Americas
Israel,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,7.0,EMEA
Sweden,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.6,EMEA
Austria,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.2,EMEA
Belgium,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.2,EMEA
Germany,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.1,EMEA
