rank,CountryName,Country,Code,Region,IncomeGroup,research_weight,responsible_weight,economy_weight,talent_weight,policy_weight,publicOpinion_weight,infrastructure_weight,total_score
1,United States,US,USA,North America,High income,19.14853447080378,5.555555555555555,22.22222222222222,8.41138534333333,4.221956829513888,2.8282828282222217,16.2127692582716,78.6007065079226
2,China,CN,CHN,East Asia & Pacific,Upper middle income,17.22397482964539,2.2255439294444446,1.9575611336608183,5.702563145714286,0.2546506925541666,3.183118146444444,6.4022254233333316,36.94963730079688
3,India,IN,IND,South Asia,Lower middle income,7.130053365713947,0.3487792725555555,0.8503944097777777,9.124255521047617,0.11279193206249997,3.3675005042222215,0.653497511802469,21.58727251718209
4,South Korea,KR,KOR,East Asia & Pacific,High income,1.8795000935165485,0.12456402588888887,0.6524172437894737,4.9600162676190465,1.802459306444444,3.5887619588888886,4.227874969283949,17.23559386543124
5,United Kingdom,GB,GBR,Europe & Central Asia,High income,2.573383149146572,0.5563859822222222,1.622565772865497,5.480909085952379,2.5256546354861107,1.2447394541777776,2.6329531793518512,16.63659125920241
6,Singapore,SG,SGP,East Asia & Pacific,High income,1.5071381316737589,0.32386646738888886,0.4734939223859649,9.307299326666664,0.5639596602083332,1.729340384622222,2.527965258499999,16.433063151445833
7,Spain,ES,ESP,Europe & Central Asia,High income,0.8237905866394799,0.01660853678888889,0.220473832,5.5049383209523794,3.5714285715277776,2.138146572291111,4.098474001185184,16.37386042138482
8,United Arab Emirates,AE,ARE,Middle East & North Africa,High income,0.36355612554326244,0.07473841555555555,0.26856783876725143,7.579455428095235,0.6884415126388888,2.3337741694000003,4.752993098654319,16.061526588654512
9,Japan,JP,JPN,East Asia & Pacific,High income,1.4975637337706855,0.29895366216666663,0.5114286404678362,5.702563145714286,0.21231422499999997,2.3064556528888884,5.50631517067901,16.035594230687373
10,Canada,CA,CAN,North America,High income,1.7940462406219857,0.45673476166666666,0.809904507239766,7.943843925476188,0.3450106156249999,1.023153563511111,3.189358978222222,15.562052592362939
11,Switzerland,CH,CHE,Europe & Central Asia,High income,0.520012330480851,0.23251951505555554,0.2617824887953216,7.628078884047617,0.23221868374999996,1.797766127148889,4.189388471512345,14.86176650079058
12,Luxembourg,LU,LUX,Europe & Central Asia,High income,0.018806703443380614,0.02491280518333333,0.03865963745614035,8.652657919999998,0.24801587302083328,2.234924385601889,3.5090004286049368,14.72697775331051
13,France,FR,FRA,Europe & Central Asia,High income,1.580375788691489,0.20760670983333332,0.8594524659649122,3.6035482183333327,1.5253766049305555,1.1006256071555556,5.757635749135801,14.63462114404498
14,Israel,IL,ISR,Middle East & North Africa,High income,0.40588824608439716,0.12456402588888887,0.4995187509122807,6.949614387619047,0.0,1.3005159632133332,4.975187990888887,14.255289364606835
15,Germany,DE,DEU,Europe & Central Asia,High income,2.149120071548463,0.6643414716666667,0.8689843522807017,5.756418948333333,0.5159362047784721,0.1892015920444444,3.003818425617283,13.147821066269364
16,Brazil,BR,BRA,Latin America & Caribbean,Upper middle income,0.8113175162271867,0.12456402588888887,0.24069754595321638,6.497036098809522,0.11942675158333332,2.824077961575555,2.117952264438271,12.735072164475973
17,Ireland,IE,IRL,Europe & Central Asia,High income,0.2055315135217494,0.008304268394444444,0.10387926149356726,7.991559033809521,0.9620488322916664,0.6950042612333334,2.5267562355740734,12.493083406318354
18,Finland,FI,FIN,Europe & Central Asia,High income,0.25577791068747047,0.04152134197222222,0.12316427198947368,7.969611841190475,0.27202760083333327,0.9200407625000001,2.6830919244567895,12.265235653629762
19,Saudi Arabia,SA,SAU,Middle East & North Africa,High income,1.3063578214971632,0.02491280518333333,0.03221829949005848,6.568595154190474,0.1924097664583333,2.351353775466667,1.6201779155370366,12.096025537823065
20,Portugal,PT,PRT,Europe & Central Asia,High income,0.19921283923078018,0.008304268394444444,0.05669196185497077,5.086082319047617,2.252047315889583,1.3006036889088886,3.16226717001358,12.065209563339863
21,Denmark,DK,DNK,Europe & Central Asia,High income,0.17775003443132392,0.058129878777777776,0.16143794795321637,5.899364597619047,0.15923566879166665,1.6736673055155555,3.8364847073271595,11.966070140415747
22,Netherlands,NL,NLD,Europe & Central Asia,High income,0.6128420317550828,0.25743232022222223,0.35239171764912275,4.755934675238094,0.15260084924999998,1.3621834478666666,4.09008039382716,11.583465435808346
23,Belgium,BE,BEL,Europe & Central Asia,High income,0.17009226613380615,0.058129878777777776,0.10826307052280702,3.7021319823809518,3.257380446972222,1.6710727516066666,2.3977764488888877,11.36484684528312
24,Australia,AU,AUS,East Asia & Pacific,High income,1.2286087020295509,0.19099817305555555,0.27146822423391814,5.82345525642857,1.064098675520833,1.333923778133333,1.294563218833333,11.207116028235092
25,Sweden,SE,SWE,Europe & Central Asia,High income,0.35447371856690313,0.0,0.6218575956842105,5.749417188809523,0.18577494691666663,1.6852741392244444,2.5140833216604928,11.11088091086224
26,Malaysia,MY,MYS,East Asia & Pacific,Upper middle income,0.41006482657234045,0.008304268394444444,0.016704793823157895,5.702563145714286,0.29193205937499994,1.4569360534422222,3.162531624296295,11.049036771617747
27,Italy,IT,ITA,Europe & Central Asia,High income,0.8964238135049645,0.19099817305555555,0.22997970670175436,4.499955472142856,1.2881028207638887,1.6327934021777775,1.943487425895061,10.681740814241858
28,Russia,RU,RUS,Europe & Central Asia,Upper middle income,0.5908429599664303,0.04152134197222222,0.0,5.702563145714286,3.0292690323125,0.08495722371999999,1.2184980947283948,10.667651798413832
29,Austria,AT,AUT,Europe & Central Asia,High income,0.19238319272600474,0.058129878777777776,0.25957588400935677,5.6460779785714275,0.9364573855555556,2.549695356704444,0.9766742222530861,10.618993898597653
30,Norway,NO,NOR,Europe & Central Asia,High income,0.22190769289172577,0.0,0.10916203297894737,3.970388139285714,0.4113588110416666,2.8869945854133334,2.592677405092592,10.192488666703978
31,Poland,PL,POL,Europe & Central Asia,High income,0.43032426883687935,0.01660853678888889,0.05297508653918129,5.1413902533333316,0.08625265393749998,1.779953239933333,2.634950909012345,10.142454948381458
32,Mexico,MX,MEX,Latin America & Caribbean,Upper middle income,0.24067836810638296,0.0,0.040356831219883045,5.023511865428571,0.23885350312499998,2.077441070022222,0.6105055393086418,8.2313471772107
33,Estonia,EE,EST,Europe & Central Asia,High income,0.007217259608628842,0.0,0.031962823341520466,5.588085155976189,0.19904458597916663,0.7575757576666665,1.3087210262716045,7.892606608843775
34,Turkey,TR,TUR,Europe & Central Asia,Upper middle income,0.6001655707957919,0.0,0.10406378503391812,4.368315318190476,0.1924097664583333,1.9279754055777776,0.1259309899716049,7.318860836027901
35,New Zealand,NZ,NZL,East Asia & Pacific,High income,0.1305717808956501,0.0,0.020730734604561405,3.3713456888095235,0.07961783439583332,0.9162999078333334,2.6794002870123452,7.197966233551247
36,South Africa,ZA,ZAF,Sub-Saharan Africa,Upper middle income,0.1605026206526005,0.0,0.04116915349473684,4.804259975619046,0.17250530785416662,1.2436492036888889,0.22359386330864195,6.64568012461808
