country,year,metric,value
China (People’s Republic of),2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,2.577284878
Korea,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,4.943523396
Bulgaria,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,0.793774554
Slovak Republic,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.036049209
Slovenia,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,2.130563275
Lithuania,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.042366028
Estonia,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.830835816
Australia,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.682148487
France,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,2.175165889
Germany,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.128664165
Norway,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.851424201
Ireland,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.54356584
Japan,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.44124934
Denmark,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.066791239
Croatia,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.366293798
Austria,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.223760924
Luxembourg,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.055806659
Switzerland,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.103760271
United Kingdom,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,2.753363172
OECD,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,2.699475366
Netherlands,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,2.304896142
Iceland,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,2.619249085
Chinese Taipei,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.972183684
United States,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.423455829
Greece,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.497696853
New Zealand,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.54848304
Türkiye,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.393583652
Sweden,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.640187414
Czechia,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.823841885
Romania,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,0.521046216
Belgium,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.238811512
Italy,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.372044278
Costa Rica,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,0.337383968
Poland,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.555246812
Portugal,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.679674471
Israel,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,6.958948349
European Union (27 countries from 01/02/2020),2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,2.145321203
Canada,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.935484306
Latvia,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,0.819607301
Hungary,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.382529813
Spain,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,1.494173906
Finland,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,3.09127635
Argentina,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,0.601114127
Singapore,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,2.025513952
South Africa,2023,Gross Domestic Expenditure on R&D (GERD) - Percentage of GDP,0.616860274
