,ABN
0,11119159741
1,11160047709
2,12138600987
3,13162622282
4,15657508088
5,16089180049
6,16615963187
7,16668232871
8,18687659196
9,18645330481
10,19138767021
11,19645471058
12,19622481190
13,20603823276
14,20661614357
15,22164411607
16,22621672893
17,23135181136
18,24149390625
19,25092807264
20,25669469489
21,26120853054
22,28655498105
23,28688298510
24,29002589460
25,29603489229
26,30122704796
27,32600120787
28,33102417032
29,33608611687
30,34128711348
31,34169451503
32,35069662817
33,36621802097
34,37168681212
35,37609653312
36,37645234171
37,38079009340
38,38167106176
39,41065894724
40,41163930185
41,41687119230
42,42636303501
43,44668560610
44,45094235373
45,46002510054
46,46080075314
47,47092364719
48,47600787139
49,47626106492
50,48162577586
51,49096776895
52,49156101549
53,49160299865
54,49608872153
55,50659779129
56,51164352229
57,51648878148
58,52658551529
59,53102443916
60,53149850457
61,53628360323
62,54068349066
63,56004071854
64,56613605360
65,56650620303
66,58613484754
67,59648067725
68,60652862050
69,605953213
70,616040575983
71,61626225625
72,61633634015
73,618786959
74,62000361633
75,63645453489
76,64123993233
77,64652016681
78,65163437429
79,66008642751
80,66160180343
81,67608159860
82,67648935282
83,679081684
84,68154200996
85,70615621577
86,72054247835
87,72623556730
88,72663937746
89,73615253408
90,73668341651
91,74122172365
92,74609165906
93,74629090286
94,75154840507
95,75169881430
96,76652786046
97,78116154904
98,78622325535
99,79000024733
100,79055136804
101,80158929938
102,80162890379
103,80656222883
104,81672747714
105,82609904289
106,82618090010
107,83622371733
108,83656231300
109,84010487180
110,84152533278
111,84606633443
112,84608846822
113,85139261822
114,86603542918
115,86618545323
116,87609487103
117,88633007860
118,89099273846
119,89626193351
120,89654922442
121,89124215247
122,90629363328
123,90635715785
124,91074444018
125,91133632327
126,91134998020
127,92140677792
128,92619102608
129,93159044989
130,93606583706
131,95082931600
132,95650934455
133,96634446030
134,97608498639
135,97645621610
136,99165644459
137,99612044283
138,99668804715
139,99673841284
140,99610105505
141,30628284597
