Australian Bureau of Statistics

"Labour Force Survey, 2006 to 2026"
"Survey month, Industry of main job (ANZSIC 2006) and Occupation of main job (ANZSCO 2013 v1.3)"
"Counting: Weighted count of Person"

Filters:
"Default Summation","Weighted count of Person (#)"

,,"Counting","Weighted count of Person","Weighted count of Person - RSE","Weighted count of Person - Annotations",
"Survey month","Industry of main job (ANZSIC 2006)","Occupation of main job (ANZSCO 2013 v1.3)",
"Aug-06","Non Tech Sector Industries","Tech occupations",268.9,3.89,,
,,"Non tech occupations",9593.9,0.56,,
,"Tech Sector Industries","Tech occupations",149.2,5.17,,
,,"Non tech occupations",94.3,6.89,,
"Nov-06","Non Tech Sector Industries","Tech occupations",264.6,3.54,,
,,"Non tech occupations",9703.8,0.46,,
,"Tech Sector Industries","Tech occupations",137.1,5.55,,
,,"Non tech occupations",96.5,6.31,,
"Feb-07","Non Tech Sector Industries","Tech occupations",277.6,3.91,,
,,"Non tech occupations",9766.5,0.37,,
,"Tech Sector Industries","Tech occupations",130.6,6.59,,
,,"Non tech occupations",100.7,6.63,,
"May-07","Non Tech Sector Industries","Tech occupations",284.4,3.45,,
,,"Non tech occupations",9884.7,0.43,,
,"Tech Sector Industries","Tech occupations",147.4,6.37,,
,,"Non tech occupations",95,5.43,,
"Aug-07","Non Tech Sector Industries","Tech occupations",289.9,3.67,,
,,"Non tech occupations",9868.9,0.41,,
,"Tech Sector Industries","Tech occupations",154.4,7.18,,
,,"Non tech occupations",93.7,4.70,,
"Nov-07","Non Tech Sector Industries","Tech occupations",309.6,5.18,,
,,"Non tech occupations",9977.9,0.39,,
,"Tech Sector Industries","Tech occupations",154.8,5.12,,
,,"Non tech occupations",92.2,6.46,,
"Feb-08","Non Tech Sector Industries","Tech occupations",301,4.00,,
,,"Non tech occupations",10086.9,0.36,,
,"Tech Sector Industries","Tech occupations",149.9,4.29,,
,,"Non tech occupations",86.3,7.35,,
"May-08","Non Tech Sector Industries","Tech occupations",285,3.48,,
,,"Non tech occupations",10168.6,0.38,,
,"Tech Sector Industries","Tech occupations",146.7,5.15,,
,,"Non tech occupations",90,10.01,,
"Aug-08","Non Tech Sector Industries","Tech occupations",297.3,4.55,,
,,"Non tech occupations",10157.9,0.38,,
,"Tech Sector Industries","Tech occupations",163.5,5.07,,
,,"Non tech occupations",92.7,9.93,,
"Nov-08","Non Tech Sector Industries","Tech occupations",311.4,5.16,,
,,"Non tech occupations",10207.3,0.46,,
,"Tech Sector Industries","Tech occupations",148.9,4.50,,
,,"Non tech occupations",91.9,6.78,,
"Feb-09","Non Tech Sector Industries","Tech occupations",320.2,4.11,,
,,"Non tech occupations",10207.2,0.47,,
,"Tech Sector Industries","Tech occupations",144.8,5.24,,
,,"Non tech occupations",106.3,7.79,,
"May-09","Non Tech Sector Industries","Tech occupations",287.2,4.98,,
