Date,Metric,Count,Rolling Average
Aug-06,Tech jobs in Australia,512.4,
Nov-06,Tech jobs in Australia,498.2,
Feb-07,Tech jobs in Australia,508.9,
May-07,Tech jobs in Australia,526.8,511.58
Aug-07,Tech jobs in Australia,538.0,517.98
Nov-07,Tech jobs in Australia,556.6,532.58
Feb-08,Tech jobs in Australia,537.2,539.65
May-08,Tech jobs in Australia,521.7,538.38
Aug-08,Tech jobs in Australia,553.5,542.25
Nov-08,Tech jobs in Australia,552.2,541.15
Feb-09,Tech jobs in Australia,571.3,549.67
May-09,Tech jobs in Australia,541.2,554.55
Aug-09,Tech jobs in Australia,541.5,551.55
Nov-09,Tech jobs in Australia,552.5,551.62
Feb-10,Tech jobs in Australia,564.1,549.83
May-10,Tech jobs in Australia,553.9,553.0
Aug-10,Tech jobs in Australia,549.3,554.95
Nov-10,Tech jobs in Australia,542.9,552.55
Feb-11,Tech jobs in Australia,587.3,558.35
May-11,Tech jobs in Australia,594.7,568.55
Aug-11,Tech jobs in Australia,585.3,577.55
Nov-11,Tech jobs in Australia,569.9,584.3
Feb-12,Tech jobs in Australia,593.2,585.78
May-12,Tech jobs in Australia,637.9,596.58
Aug-12,Tech jobs in Australia,619.2,605.05
Nov-12,Tech jobs in Australia,622.8,618.28
Feb-13,Tech jobs in Australia,621.6,625.38
May-13,Tech jobs in Australia,631.4,623.75
Aug-13,Tech jobs in Australia,607.8,620.9
Nov-13,Tech jobs in Australia,594.0,613.7
Feb-14,Tech jobs in Australia,601.3,608.62
May-14,Tech jobs in Australia,607.5,602.65
Aug-14,Tech jobs in Australia,650.5,613.33
Nov-14,Tech jobs in Australia,617.2,619.12
Feb-15,Tech jobs in Australia,646.5,630.42
May-15,Tech jobs in Australia,672.4,646.65
Aug-15,Tech jobs in Australia,636.9,643.25
Nov-15,Tech jobs in Australia,638.7,648.62
Feb-16,Tech jobs in Australia,652.0,650.0
May-16,Tech jobs in Australia,667.8,648.85
Aug-16,Tech jobs in Australia,689.0,661.88
Nov-16,Tech jobs in Australia,662.7,667.88
Feb-17,Tech jobs in Australia,653.4,668.22
May-17,Tech jobs in Australia,696.6,675.42
Aug-17,Tech jobs in Australia,684.4,674.28
Nov-17,Tech jobs in Australia,673.5,676.98
Feb-18,Tech jobs in Australia,702.3,689.2
May-18,Tech jobs in Australia,730.0,697.55
Aug-18,Tech jobs in Australia,775.7,720.38
Nov-18,Tech jobs in Australia,723.8,732.95
Feb-19,Tech jobs in Australia,788.5,754.5
May-19,Tech jobs in Australia,780.6,767.15
Aug-19,Tech jobs in Australia,755.3,762.05
Nov-19,Tech jobs in Australia,769.9,773.58
Feb-20,Tech jobs in Australia,774.1,769.98
May-20,Tech jobs in Australia,769.5,767.2
Aug-20,Tech jobs in Australia,802.6,779.02
Nov-20,Tech jobs in Australia,818.2,791.1
Feb-21,Tech jobs in Australia,843.5,808.45
May-21,Tech jobs in Australia,845.3,827.4
Aug-21,Tech jobs in Australia,819.1,831.53
Nov-21,Tech jobs in Australia,874.7,845.65
Feb-22,Tech jobs in Australia,906.9,861.5
May-22,Tech jobs in Australia,908.7,877.35
Aug-22,Tech jobs in Australia,926.6,904.23
Nov-22,Tech jobs in Australia,964.9,926.78
Feb-23,Tech jobs in Australia,965.3,941.38
May-23,Tech jobs in Australia,941.0,949.45
Aug-23,Tech jobs in Australia,938.0,952.3
Nov-23,Tech jobs in Australia,993.6,959.48
Feb-24,Tech jobs in Australia,1002.8,968.85
May-24,Tech jobs in Australia,1006.5,985.22
Aug-24,Tech jobs in Australia,962.8,991.42
Nov-24,Tech jobs in Australia,931.2,975.82
Feb-25,Tech jobs in Australia,933.1,958.4
May-25,Tech jobs in Australia,961.0,947.03
Aug-25,Tech jobs in Australia,1009.5,958.7
Nov-25,Tech jobs in Australia,1011.4,978.75
