Date,Metric,Count,Rolling Average
Aug-06,Telecommunications Services,42.1,
Aug-06,Internet Service Providers and Web Search Portals,5.0,
Aug-06,"Data Processing, Web Hosting and Electronic Information Storage Services",6.7,
Aug-06,Computer System Design and Related Services,93.9,
Nov-06,Telecommunications Services,40.2,
Nov-06,Internet Service Providers and Web Search Portals,6.5,
Nov-06,"Data Processing, Web Hosting and Electronic Information Storage Services",5.6,
Nov-06,Computer System Design and Related Services,85.5,
Feb-07,Telecommunications Services,41.6,
Feb-07,Internet Service Providers and Web Search Portals,3.6,
Feb-07,"Data Processing, Web Hosting and Electronic Information Storage Services",6.2,
Feb-07,Computer System Design and Related Services,79.9,
May-07,Telecommunications Services,43.3,41.8
May-07,Internet Service Providers and Web Search Portals,5.2,5.08
May-07,"Data Processing, Web Hosting and Electronic Information Storage Services",7.3,6.45
May-07,Computer System Design and Related Services,90.8,87.52
Aug-07,Telecommunications Services,41.4,41.62
Aug-07,Internet Service Providers and Web Search Portals,4.3,4.9
Aug-07,"Data Processing, Web Hosting and Electronic Information Storage Services",10.1,7.3
Aug-07,Computer System Design and Related Services,99.2,88.85
Nov-07,Telecommunications Services,44.4,42.68
Nov-07,Internet Service Providers and Web Search Portals,4.2,4.32
Nov-07,"Data Processing, Web Hosting and Electronic Information Storage Services",10.1,8.42
Nov-07,Computer System Design and Related Services,96.7,91.65
Feb-08,Telecommunications Services,42.7,42.95
Feb-08,Internet Service Providers and Web Search Portals,4.7,4.6
Feb-08,"Data Processing, Web Hosting and Electronic Information Storage Services",7.4,8.72
Feb-08,Computer System Design and Related Services,96.3,95.75
May-08,Telecommunications Services,41.1,42.4
May-08,Internet Service Providers and Web Search Portals,2.3,3.88
May-08,"Data Processing, Web Hosting and Electronic Information Storage Services",4.3,7.98
May-08,Computer System Design and Related Services,99.7,97.98
Aug-08,Telecommunications Services,45.9,43.53
Aug-08,Internet Service Providers and Web Search Portals,6.9,4.53
Aug-08,"Data Processing, Web Hosting and Electronic Information Storage Services",3.1,6.22
Aug-08,Computer System Design and Related Services,108.2,100.22
Nov-08,Telecommunications Services,42.5,43.05
Nov-08,Internet Service Providers and Web Search Portals,2.6,4.12
Nov-08,"Data Processing, Web Hosting and Electronic Information Storage Services",1.8,4.15
Nov-08,Computer System Design and Related Services,99.2,100.85
Feb-09,Telecommunications Services,31.9,40.35
Feb-09,Internet Service Providers and Web Search Portals,1.8,3.4
Feb-09,"Data Processing, Web Hosting and Electronic Information Storage Services",1.0,2.55
Feb-09,Computer System Design and Related Services,107.8,103.72
May-09,Telecommunications Services,34.9,38.8
May-09,Internet Service Providers and Web Search Portals,3.1,3.6
May-09,"Data Processing, Web Hosting and Electronic Information Storage Services",1.5,1.85
May-09,Computer System Design and Related Services,110.0,106.3
Aug-09,Telecommunications Services,37.4,36.67
Aug-09,Internet Service Providers and Web Search Portals,2.8,2.58
Aug-09,Computer System Design and Related Services,114.8,107.95
Nov-09,Telecommunications Services,40.1,36.08
Nov-09,Internet Service Providers and Web Search Portals,1.4,2.28
Nov-09,"Data Processing, Web Hosting and Electronic Information Storage Services",1.4,1.42
Nov-09,Computer System Design and Related Services,117.1,112.42
Feb-10,Telecommunications Services,41.1,38.38
Feb-10,Internet Service Providers and Web Search Portals,1.3,2.15
Feb-10,"Data Processing, Web Hosting and Electronic Information Storage Services",2.3,1.55
