Sector,movement_type,manager_type,Men,Women
Direct Tech Sector Companies,Promotions,Mid to entry level management,65.6,34.4
Direct Tech Sector Companies,Promotions,Non-managers,64.4,35.6
Direct Tech Sector Companies,Promotions,Top level management,70.0,30.0
Direct Tech Sector Companies,Internal appointments,Mid to entry level management,68.2,31.8
Direct Tech Sector Companies,Internal appointments,Non-managers,63.5,36.5
Direct Tech Sector Companies,Internal appointments,Top level management,68.2,31.8
Direct Tech Sector Companies,External appointments,Mid to entry level management,66.4,33.6
Direct Tech Sector Companies,External appointments,Non-managers,64.2,35.8
Direct Tech Sector Companies,External appointments,Top level management,69.4,30.6
Australian Average,Promotions,Mid to entry level management,52.2,47.8
Australian Average,Promotions,Non-managers,51.4,48.6
Australian Average,Promotions,Top level management,55.2,44.8
Australian Average,Internal appointments,Mid to entry level management,50.7,49.3
Australian Average,Internal appointments,Non-managers,45.2,54.8
Australian Average,Internal appointments,Top level management,55.1,44.9
Australian Average,External appointments,Mid to entry level management,55.8,44.2
Australian Average,External appointments,Non-managers,47.9,52.1
Australian Average,External appointments,Top level management,57.0,43.0
