Month Year,Software Engineers,Business & Data Analysts,Hardware Engineers,Information Technology,Network & Security,"Product, Graphic, UX Design",Technical Management,Telecom
August 1986,20137.0,18383.0,21770.0,10598.0,27355.0,9878.0,8389.0,53226.0
August 1987,24073.0,19980.0,22982.0,11918.0,32082.0,10721.0,11491.0,47158.0
August 1988,28124.0,20741.0,26037.0,12583.0,35664.0,11526.0,11703.0,50614.0
August 1989,31884.0,23102.0,23437.0,15045.0,38365.0,12557.0,13280.0,48023.0
August 1990,39818.0,25501.0,24235.0,16076.0,44863.0,11749.0,12840.0,52775.0
August 1991,40161.0,28400.0,21906.0,17245.0,45550.0,14088.0,12815.0,47525.0
August 1992,40109.0,26543.0,23256.0,16157.0,46439.0,13566.0,13808.0,44935.0
August 1993,39906.0,28289.0,21560.0,16953.0,47363.0,13944.0,11940.0,41102.0
August 1994,41528.0,29667.0,20234.0,17446.0,51051.0,16247.0,14685.0,40675.0
August 1995,52461.0,32127.0,20092.0,18871.0,59186.0,17849.0,12626.0,45972.0
August 1996,50936.0,34186.0,18361.0,19845.0,52583.0,22306.0,17653.0,42341.0
August 1997,58065.0,41763.0,22658.0,19404.0,62255.0,27142.0,19409.0,49603.0
August 1998,65905.0,45995.0,13695.0,25291.0,56172.0,25344.0,20089.0,39088.0
August 1999,66099.0,39530.0,15873.0,24811.0,66374.0,20437.0,17892.0,40567.0
August 2000,74932.0,52185.0,16611.0,26604.0,69937.0,28937.0,21665.0,36178.0
August 2001,77698.0,59498.0,17707.0,28069.0,74827.0,29601.0,33062.0,33766.0
August 2002,85076.0,57988.0,12322.0,29004.0,80719.0,35013.0,33381.0,35963.0
August 2003,84636.0,51855.0,15032.0,29083.0,83751.0,35081.0,31205.0,36834.0
August 2004,76043.0,48805.0,17475.0,28005.0,84381.0,30808.0,40376.0,33716.0
August 2005,75239.0,60062.0,16103.0,29201.0,89161.0,39915.0,40568.0,32338.0
August 2006,74385.0,60694.0,14496.0,36071.0,103535.0,40290.0,49668.0,38654.0
August 2007,91022.0,67662.0,20662.0,36889.0,102122.0,40035.0,45579.0,39312.0
August 2008,98710.0,68795.0,14447.0,50905.0,120935.0,36962.0,32994.0,36970.0
August 2009,93208.0,65419.0,13405.0,47046.0,106843.0,42742.0,43025.0,35241.0
August 2010,86596.0,72253.0,11339.0,48339.0,115587.0,44835.0,41612.0,35546.0
August 2011,99428.0,73226.0,14210.0,48526.0,111575.0,45966.0,51052.0,35796.0
August 2012,100662.0,86328.0,17629.0,51548.0,123052.0,42573.0,55744.0,35340.0
August 2013,112684.0,78130.0,18147.0,53781.0,122603.0,51441.0,47598.0,31522.0
August 2014,90502.0,89744.0,12398.0,57699.0,148050.0,50714.0,65204.0,40389.0
August 2015,106123.0,83918.0,13231.0,59436.0,134156.0,52356.0,57245.0,34963.0
August 2016,111558.0,93472.0,15804.0,68956.0,122458.0,56484.0,55029.0,42245.0
August 2017,118707.0,91073.0,16415.0,60273.0,120304.0,62603.0,67868.0,28077.0
August 2018,129418.0,103924.0,17438.0,71164.0,158372.0,61387.0,54793.0,41731.0
August 2019,147951.0,108411.0,13796.0,61176.0,164190.0,57060.0,49891.0,40954.0
August 2020,155320.0,112375.0,15102.0,55976.0,182984.0,59671.0,63110.0,41537.0
August 2021,158771.0,123054.0,7288.0,76983.0,185219.0,48898.0,66809.0,36608.0
August 2022,171347.0,149453.0,12613.0,88154.0,179759.0,53727.0,84080.0,33808.0
August 2023,171950.0,150558.0,15766.0,91204.0,202008.0,52229.0,87176.0,40616.0
August 2024,201622.0,147391.0,13928.0,94554.0,209964.0,47278.0,76388.0,37343.0
August 2025,216885.0,148465.0,17347.0,91144.0,213806.0,62402.0,92500.0,30120.0
February 1987,21694.0,17995.0,22617.0,11173.0,28353.0,13277.0,9521.0,48588.0
February 1988,27417.0,19286.0,23597.0,12235.0,35143.0,13741.0,11995.0,51830.0
February 1989,27728.0,20513.0,25571.0,13170.0,36900.0,14120.0,9882.0,55400.0
February 1990,32903.0,22959.0,21442.0,15498.0,41205.0,13425.0,13189.0,41672.0
February 1991,40680.0,26428.0,23642.0,16629.0,46995.0,11816.0,12326.0,44737.0
February 1992,41912.0,27671.0,25140.0,17332.0,48512.0,14607.0,12881.0,46860.0
February 1993,38710.0,26531.0,24285.0,16613.0,44672.0,15605.0,14057.0,40926.0
February 1994,37299.0,26881.0,21192.0,15883.0,47945.0,16847.0,12474.0,42133.0
February 1995,42855.0,29947.0,20349.0,18102.0,52411.0,19956.0,13310.0,44790.0
February 1996,54012.0,36022.0,22668.0,19731.0,63805.0,16146.0,14239.0,48057.0
February 1997,49411.0,34372.0,19531.0,21333.0,57258.0,23439.0,21187.0,43204.0
February 1998,60716.0,38882.0,18787.0,23492.0,57030.0,22136.0,19519.0,42269.0
February 1999,69228.0,43454.0,15527.0,24755.0,56705.0,25399.0,24308.0,38577.0
February 2000,69735.0,50107.0,17480.0,29226.0,69944.0,22309.0,21065.0,44121.0
February 2001,82105.0,51172.0,14968.0,27001.0,80496.0,30933.0,30678.0,40024.0
February 2002,83776.0,57187.0,16183.0,29936.0,82365.0,26182.0,35977.0,32355.0
February 2003,86469.0,56496.0,17180.0,28426.0,84318.0,30994.0,35905.0,38436.0
February 2004,85234.0,58467.0,16237.0,33545.0,81545.0,33389.0,34542.0,35673.0
February 2005,72438.0,49927.0,24695.0,26719.0,90786.0,36053.0,43611.0,32538.0
February 2006,81696.0,60431.0,15180.0,32975.0,93009.0,37771.0,50433.0,38154.0
February 2007,79011.0,61514.0,13675.0,32834.0,97032.0,40984.0,48769.0,34377.0
February 2008,88766.0,77937.0,19379.0,36020.0,102952.0,44622.0,42997.0,37616.0
February 2009,86534.0,71934.0,17960.0,40143.0,124710.0,48249.0,48828.0,26594.0
February 2010,86091.0,76166.0,12448.0,50126.0,122768.0,42634.0,44755.0,39177.0
February 2011,93473.0,67609.0,15865.0,46165.0,117933.0,58872.0,47603.0,42872.0
February 2012,93397.0,77552.0,17468.0,49631.0,123637.0,52549.0,46287.0,29054.0
February 2013,94114.0,83573.0,20078.0,57324.0,124021.0,56881.0,50559.0,33388.0
February 2014,99615.0,81569.0,12548.0,47518.0,124948.0,49999.0,51666.0,34007.0
February 2015,99611.0,82803.0,15395.0,57529.0,140049.0,52440.0,68461.0,33731.0
February 2016,105762.0,93013.0,19282.0,69565.0,119212.0,49822.0,54546.0,39843.0
February 2017,112141.0,82911.0,14138.0,64011.0,114103.0,56513.0,59859.0,41192.0
February 2018,130940.0,89184.0,11976.0,59282.0,146275.0,54762.0,65500.0,42349.0
February 2019,153021.0,130645.0,17107.0,54599.0,168340.0,53404.0,51679.0,49945.0
February 2020,131403.0,121606.0,16137.0,67868.0,170663.0,48803.0,62929.0,48599.0
February 2021,165225.0,119665.0,12494.0,91887.0,192355.0,48581.0,66777.0,37319.0
February 2022,163796.0,134341.0,12860.0,86397.0,195844.0,70664.0,71784.0,39914.0
