Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL
Summary,Percentile,,Median,149463,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Summary,Percentile,,25th,86500,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Summary,Percentile,,75th,166000,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Summary,Percentile,,90th,214000,Marketing,All,Australia,https://www.levels.fyi/en-gb/t/marketing/locations/australia
Summary,Percentile,,Median,113109,Controls Engineer,All,Australia,https://www.levels.fyi/en-gb/t/controls-engineer/locations/australia
Summary,Percentile,,25th,78600,Controls Engineer,All,Australia,https://www.levels.fyi/en-gb/t/controls-engineer/locations/australia
Summary,Percentile,,75th,139000,Controls Engineer,All,Australia,https://www.levels.fyi/en-gb/t/controls-engineer/locations/australia
Summary,Percentile,,90th,212000,Controls Engineer,All,Australia,https://www.levels.fyi/en-gb/t/controls-engineer/locations/australia
Summary,Percentile,,Median,78639,Controls Engineer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/controls-engineer/levels/entry-level/locations/australia
Summary,Percentile,,Median,105517,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia
Summary,Percentile,,25th,81000,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia
Summary,Percentile,,75th,139000,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia
Summary,Percentile,,90th,203000,Information Technologist,All,Australia,https://www.levels.fyi/en-gb/t/information-technologist/locations/australia
Summary,Percentile,,Median,66824,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia
Summary,Percentile,,25th,62300,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia
Summary,Percentile,,75th,74700,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia
Summary,Percentile,,90th,76300,Information Technologist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/entry-level/locations/australia
Summary,Percentile,,Median,154766,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia
Summary,Percentile,,25th,119000,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia
Summary,Percentile,,75th,253000,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia
Summary,Percentile,,90th,346000,Information Technologist,Senior,Australia,https://www.levels.fyi/en-gb/t/information-technologist/levels/senior/locations/australia
Summary,Percentile,,Median,137443,Legal,All,Australia,https://www.levels.fyi/en-gb/t/legal/locations/australia
Summary,Percentile,,25th,76700,Legal,All,Australia,https://www.levels.fyi/en-gb/t/legal/locations/australia
Summary,Percentile,,75th,202000,Legal,All,Australia,https://www.levels.fyi/en-gb/t/legal/locations/australia
Summary,Percentile,,90th,228000,Legal,All,Australia,https://www.levels.fyi/en-gb/t/legal/locations/australia
Summary,Percentile,,Median,94018,Revops,All,Australia,https://www.levels.fyi/en-gb/t/revops/locations/australia
Summary,Percentile,,Median,157103,Business Development,All,Australia,https://www.levels.fyi/en-gb/t/business-development/locations/australia
Summary,Percentile,,25th,97600,Business Development,All,Australia,https://www.levels.fyi/en-gb/t/business-development/locations/australia
Summary,Percentile,,75th,230000,Business Development,All,Australia,https://www.levels.fyi/en-gb/t/business-development/locations/australia
Summary,Percentile,,90th,281000,Business Development,All,Australia,https://www.levels.fyi/en-gb/t/business-development/locations/australia
Summary,Percentile,,Median,72651,Business Development,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/entry-level/locations/australia
Summary,Percentile,,Median,173162,Business Development,Senior,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/senior/locations/australia
Summary,Percentile,,25th,116000,Business Development,Senior,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/senior/locations/australia
Summary,Percentile,,75th,249000,Business Development,Senior,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/senior/locations/australia
Summary,Percentile,,90th,281000,Business Development,Senior,Australia,https://www.levels.fyi/en-gb/t/business-development/levels/senior/locations/australia
Summary,Percentile,,Median,155082,Biz Ops,All,Australia,https://www.levels.fyi/en-gb/t/biz-ops/locations/australia
Summary,Percentile,,25th,76300,Biz Ops,All,Australia,https://www.levels.fyi/en-gb/t/biz-ops/locations/australia
Summary,Percentile,,75th,209000,Biz Ops,All,Australia,https://www.levels.fyi/en-gb/t/biz-ops/locations/australia
Summary,Percentile,,90th,210000,Biz Ops,All,Australia,https://www.levels.fyi/en-gb/t/biz-ops/locations/australia
Summary,Percentile,,Median,73955,Biz Ops,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/biz-ops/levels/entry-level/locations/australia
Summary,Percentile,,Median,165604,Biz Ops,Senior,Australia,https://www.levels.fyi/en-gb/t/biz-ops/levels/senior/locations/australia
Summary,Percentile,,25th,140000,Biz Ops,Senior,Australia,https://www.levels.fyi/en-gb/t/biz-ops/levels/senior/locations/australia
Summary,Percentile,,75th,210000,Biz Ops,Senior,Australia,https://www.levels.fyi/en-gb/t/biz-ops/levels/senior/locations/australia
Summary,Percentile,,90th,259000,Biz Ops,Senior,Australia,https://www.levels.fyi/en-gb/t/biz-ops/levels/senior/locations/australia
Summary,Percentile,,Median,87310,Lab Tech,All,Australia,https://www.levels.fyi/en-gb/t/lab-tech/locations/australia
Summary,Percentile,,Median,87310,Lab Tech,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/lab-tech/levels/entry-level/locations/australia
Summary,Percentile,,Median,133590,Bizops Manager,All,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/locations/australia
Summary,Percentile,,25th,124000,Bizops Manager,All,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/locations/australia
Summary,Percentile,,75th,185000,Bizops Manager,All,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/locations/australia
Summary,Percentile,,90th,231000,Bizops Manager,All,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/locations/australia
Summary,Percentile,,Median,165043,Bizops Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/levels/senior/locations/australia
Summary,Percentile,,25th,132000,Bizops Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/levels/senior/locations/australia
Summary,Percentile,,75th,207000,Bizops Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/levels/senior/locations/australia
Summary,Percentile,,90th,250000,Bizops Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/bizops-manager/levels/senior/locations/australia
Summary,Percentile,,Median,161501,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia
Summary,Percentile,,25th,116000,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia
Summary,Percentile,,75th,196000,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia
Summary,Percentile,,90th,237000,Data Scientist,All,Australia,https://www.levels.fyi/en-gb/t/data-scientist/locations/australia
Summary,Percentile,,Median,86237,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia
Summary,Percentile,,25th,84800,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia
Summary,Percentile,,75th,115000,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia
Summary,Percentile,,90th,140000,Data Scientist,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/entry-level/locations/australia
Summary,Percentile,,Median,190010,Data Scientist,Senior,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia
Summary,Percentile,,25th,164000,Data Scientist,Senior,Australia,https://www.levels.fyi/en-gb/t/data-scientist/levels/senior/locations/australia
