Sector,occupation,Men,Women
TCA Member Companies,Senior managers,56.7,43.3
TCA Member Companies,Other managers,54.5,45.5
TCA Member Companies,Other Executives and General Managers,59.4,40.6
TCA Member Companies,Non-managers,48.5,51.5
TCA Member Companies,Heads of Business,37.5,62.5
TCA Member Companies,CEOs,73.9,26.1
Direct Tech Sector Companies,Other managers,70.2,29.8
Direct Tech Sector Companies,Senior managers,70.5,29.5
Direct Tech Sector Companies,Other Executives and General Managers,70.8,29.2
Direct Tech Sector Companies,Non-managers,67.5,32.5
Direct Tech Sector Companies,Heads of Business,79.9,20.1
Direct Tech Sector Companies,CEOs,87.7,12.3
Australian Average,Heads of Business,69.8,30.2
Australian Average,Senior managers,60.0,40.0
Australian Average,Other managers,55.5,44.5
Australian Average,Other Executives and General Managers,62.6,37.4
Australian Average,Non-managers,47.5,52.5
Australian Average,CEOs,74.2,25.8
